R,G,B,L,a,b
22,33,33,16.51080512,-6.64052897,-2.354556806
0,0,0,0,0,0
255,255,0,96.68361649,-20.41917102,87.367929
255,255,34,96.7743826,-19.81850594,82.50599742
9,255,34,85.74857587,-89.91795057,68.63789507
0,255,0,85.60707423,-91.48619298,73.96220269
0,0,255,34.66898283,71.12556022,-101.8878931
255,0,0,56.54701762,76.89943347,68.10344427
55,5,5,13.2928394,29.71146262,24.15692401
188,35,88,48.56483497,60.55144942,7.021681344
188,99,88,59.524969,30.97956758,21.23453179
128,128,128,60.71139187,0,0
23,128,128,54.20485776,-31.95431592,-10.23793587
23,128,22,51.67751325,-55.96604307,43.95455114
23,55,22,25.77954604,-25.37539541,18.85837359
111,55,22,37.52475611,22.10066396,34.86404301
222,55,222,61.48479016,73.42310782,-42.82898335
121,55,222,48.43129521,55.4935585,-64.30310966
1,55,7,24.52235404,-35.93635174,27.49623604
12,55,17,24.99049448,-31.56037469,21.61046042
88,155,17,62.58979583,-42.97695789,56.00621906
5,8,1,1.384053589,-6.616307866,9.46360733
35,8,21,8.225608072,21.78849606,-1.845865555
35,100,100,45.21243506,-23.57183949,-7.762968507
135,10,100,36.98355715,57.83665556,-18.31439141
15,199,200,75.16439342,-43.55866697,-14.29353692
61,36,17,23.3664551,11.18294673,22.01405525
43,18,25,13.76520829,17.88726205,2.001794148
111,34,12,32.47046377,34.58238426,37.67961908
9,150,138,60.49539181,-40.53751454,-6.38825084
83,13,107,27.59004302,47.97781352,-38.00836768
243,1,96,55.9552452,77.83864449,13.88019252
1,240,218,85.27256103,-54.85068287,-7.520863563
241,178,1,80.33953127,6.835220678,76.87337575
63,11,130,25.82596334,49.52600502,-54.59308717
7,177,95,66.73254389,-61.2982412,23.67119592
88,11,121,29.45442108,51.79442668,-43.32733499
38,50,17,25.06855678,-14.12625422,22.45897943
186,100,6,58.35382822,25.0443097,60.87554816
6,187,156,70.81830236,-50.60707702,-0.569021291
154,9,147,42.94942581,66.54251266,-35.72686139
26,45,18,21.70008465,-18.13896478,17.65681164
89,14,37,24.63346826,39.34423815,7.626602485
19,29,32,14.22868683,-5.114413195,-4.769411604
6,6,6,1.058600113,0,0
13,105,53,44.54018104,-44.53610699,19.48949795
37,13,107,19.30861382,40.11090855,-51.79521523
55,141,10,56.78529135,-51.04156794,52.51778114
5,194,30,70.37251006,-76.07667634,56.94129844
11,122,127,52.16193747,-30.95389295,-12.70541905
4,126,203,56.52024138,-9.564123354,-43.50571481
148,9,148,41.97007356,65.70276175,-37.86835761
61,17,30,18.15993751,27.52577595,3.944421332
162,102,8,55.82862346,14.9123711,57.31891889
45,54,17,27.44161228,-12.5139686,25.1181362
16,51,66,25.58766824,-10.20871286,-15.0755487
196,121,5,64.00209325,17.87194207,64.75032595
21,12,120,18.77197009,42.13692932,-60.59021921
166,8,138,44.50053794,67.65085947,-28.29645323
